,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q3_total,Q8_total,numerical_total
27,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,2.0,1.0,1.0,3.0,8.0,4.714285714285714,2.3333333333333335,3.933333333333333
28,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,7.0,4.571428571428571,1.6666666666666667,3.6
29,4.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,7.0,3.7142857142857144,1.8333333333333333,3.2
30,3.0,2.0,2.0,5.0,1.0,3.0,5.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,9.0,2.857142857142857,3.3333333333333335,3.466666666666667
31,4.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,8.0,3.7142857142857144,4.0,4.133333333333334
32,3.0,2.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,2.0,3.0,2.0,5.0,3.0,6.0,4.0,3.0,3.6666666666666665
33,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,5.0,3.0,7.0,3.2857142857142856,3.5,3.6
34,4.0,4.0,5.0,5.0,1.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,6.0,3.7142857142857144,1.5,3.0
35,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,8.0,4.142857142857143,4.333333333333333,4.533333333333333
36,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,4.0,3.6666666666666665,3.933333333333333
37,4.0,4.0,5.0,5.0,,,5.0,,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.75,4.333333333333333,4.416666666666667
38,4.0,2.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,6.0,2.7142857142857144,2.5,2.933333333333333
39,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,6.0,4.714285714285714,2.6666666666666665,4.0
40,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,2.0,7.0,4.285714285714286,3.5,4.133333333333334
41,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,6.0,4.0,2.5,3.533333333333333
42,5.0,5.0,5.0,5.0,3.0,3.0,5.0,2.0,3.0,4.0,,4.0,4.0,4.0,8.0,4.0,3.8,4.285714285714286
43,5.0,3.0,1.0,4.0,1.0,5.0,5.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,6.0,2.857142857142857,3.3333333333333335,3.4
44,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,3.0,2.0,4.0,4.0,10.0,5.0,2.5,4.333333333333333
45,4.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,7.0,2.5714285714285716,3.1666666666666665,3.2
46,4.0,4.0,5.0,3.0,2.0,3.0,5.0,2.0,4.0,1.0,2.0,1.0,4.0,4.0,8.0,3.4285714285714284,2.6666666666666665,3.466666666666667
47,4.0,1.0,3.0,5.0,1.0,3.0,4.0,1.0,3.0,2.0,4.0,4.0,5.0,2.0,5.0,2.5714285714285716,3.3333333333333335,3.1333333333333333
48,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,8.0,4.571428571428571,4.5,4.8
49,5.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,7.0,4.142857142857143,3.5,4.133333333333334
50,3.0,2.0,4.0,5.0,1.0,2.0,5.0,2.0,4.0,1.0,5.0,1.0,2.0,4.0,7.0,3.0,2.8333333333333335,3.2
51,3.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,3.4285714285714284,3.0,3.533333333333333
52,5.0,2.0,4.0,5.0,2.0,5.0,5.0,,1.0,1.0,2.0,1.0,2.0,4.0,7.0,3.8333333333333335,1.8333333333333333,3.2857142857142856
53,4.0,5.0,3.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,3.4285714285714284,5.0,4.466666666666667
54,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,3.0,10.0,5.0,3.3333333333333335,4.666666666666667
55,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,3.857142857142857,2.6666666666666665,3.533333333333333
56,4.0,4.0,1.0,5.0,3.0,3.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,6.0,3.5714285714285716,3.1666666666666665,3.6
57,2.0,3.0,4.0,5.0,4.0,2.0,5.0,2.0,4.0,4.0,3.0,5.0,2.0,5.0,7.0,3.5714285714285716,3.8333333333333335,3.8
58,4.0,4.0,3.0,2.0,3.0,,2.0,0.0,3.0,4.0,3.0,2.0,1.0,2.0,6.0,2.3333333333333335,2.5,2.7857142857142856
59,2.0,2.0,5.0,5.0,1.0,1.0,0.0,3.0,3.0,0.0,3.0,0.0,1.0,4.0,5.0,2.4285714285714284,1.8333333333333333,2.3333333333333335
60,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,4.285714285714286,4.0,4.466666666666667
61,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,5.0,4.0,4.933333333333334
62,5.0,4.0,5.0,5.0,3.0,5.0,5.0,,4.0,5.0,5.0,4.0,5.0,4.0,7.0,4.5,4.5,4.714285714285714
63,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.2
64,3.0,5.0,3.0,3.0,0.0,2.0,5.0,1.0,3.0,3.0,2.0,0.0,1.0,3.0,5.0,2.7142857142857144,2.0,2.6
65,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,8.0,4.714285714285714,3.3333333333333335,4.4
66,4.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,2.0,1.0,3.0,2.0,4.0,5.0,7.0,3.857142857142857,2.8333333333333335,3.6666666666666665
67,5.0,4.0,5.0,4.0,1.0,2.0,5.0,1.0,4.0,5.0,2.0,2.0,3.0,5.0,8.0,3.142857142857143,3.5,3.7333333333333334
68,4.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,8.0,3.857142857142857,2.3333333333333335,3.533333333333333
69,3.0,2.0,4.0,4.0,2.0,4.0,5.0,3.0,4.0,,1.0,1.0,3.0,5.0,6.0,3.4285714285714284,2.8,3.357142857142857
70,3.0,5.0,2.0,3.0,3.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,10.0,3.2857142857142856,3.3333333333333335,3.7333333333333334
71,5.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,9.0,3.4285714285714284,3.5,3.933333333333333
72,4.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,2.0,4.0,3.0,6.0,3.5714285714285716,3.1666666666666665,3.6
73,4.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,4.0,5.0,1.0,4.0,2.0,5.0,4.142857142857143,3.1666666666666665,3.8
74,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.857142857142857,3.1666666666666665,3.1333333333333333
75,3.0,2.0,3.0,3.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,,3.0,2.0,2.0,2.1818181818181817
76,5.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,7.0,4.285714285714286,3.3333333333333335,4.133333333333334
77,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,10.0,4.571428571428571,2.8333333333333335,4.266666666666667
78,5.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,8.0,4.285714285714286,3.8333333333333335,4.4
79,3.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.4285714285714284,3.0,3.3333333333333335
80,4.0,5.0,1.0,3.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0,,5.0,4.0,9.0,3.5714285714285716,4.6,4.357142857142857
81,3.0,1.0,4.0,3.0,1.0,4.0,5.0,2.0,2.0,1.0,,,,,2.0,2.857142857142857,1.5,2.5454545454545454
82,4.0,3.0,5.0,5.0,3.0,1.0,3.0,1.0,5.0,2.0,2.0,1.0,5.0,5.0,7.0,3.0,3.3333333333333335,3.466666666666667
83,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,8.0,4.285714285714286,2.6666666666666665,3.933333333333333
84,4.0,4.0,3.0,5.0,2.0,3.0,5.0,1.0,4.0,4.0,5.0,3.0,4.0,5.0,7.0,3.2857142857142856,4.166666666666667,3.933333333333333
85,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,3.5714285714285716,3.5,3.7333333333333334
86,4.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,8.0,3.857142857142857,3.6666666666666665,4.066666666666666
87,4.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,9.0,4.285714285714286,4.5,4.666666666666667
88,4.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,7.0,2.857142857142857,2.1666666666666665,2.933333333333333
89,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,7.0,4.571428571428571,4.166666666666667,4.6
90,5.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,10.0,4.142857142857143,3.6666666666666665,4.4
91,5.0,5.0,3.0,5.0,2.0,3.0,5.0,2.0,4.0,3.0,5.0,5.0,5.0,4.0,10.0,3.5714285714285716,4.333333333333333,4.4
92,5.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,10.0,4.285714285714286,4.0,4.6
93,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,10.0,4.857142857142857,4.666666666666667,5.133333333333334
94,4.0,5.0,3.0,5.0,3.0,5.0,5.0,1.0,4.0,1.0,4.0,3.0,4.0,3.0,8.0,3.857142857142857,3.1666666666666665,3.8666666666666667
95,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,10.0,5.0,3.5,4.733333333333333
96,4.0,3.0,2.0,5.0,2.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,2.0,5.0,8.0,3.2857142857142856,2.8333333333333335,3.466666666666667
97,4.0,4.0,4.0,4.0,2.0,3.0,5.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,6.0,3.4285714285714284,2.1666666666666665,3.1333333333333333
98,4.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,,,,,,,5.0,4.285714285714286,,4.333333333333333
99,4.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,2.0,3.0,3.0,8.0,3.7142857142857144,3.0,3.7333333333333334
100,4.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,8.0,3.2857142857142856,2.8333333333333335,3.466666666666667
101,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,9.0,4.428571428571429,4.166666666666667,4.666666666666667
113,5.0,3.0,2.0,5.0,2.0,2.0,5.0,2.0,,,,,,,,3.0,,3.25
114,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,5.0,,5.0
115,4.0,2.0,4.0,5.0,2.0,4.0,4.0,2.0,,,,,,,,3.2857142857142856,,3.375
118,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,,,,,,,,4.714285714285714,,4.625
123,,,,,,,,,,,,,,,,,,
2,4.0,4.0,4.0,5.0,3.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,7.0,3.5714285714285716,1.5,3.0
3,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,,4.0,10.0,4.714285714285714,4.0,4.857142857142857
4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,3.0,10.0,4.714285714285714,4.166666666666667,4.866666666666666
5,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,1.0,5.0,1.0,8.0,4.714285714285714,2.8333333333333335,4.133333333333334
6,3.0,2.0,4.0,4.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,0.0,2.0,4.0,3.0,2.857142857142857,1.6666666666666667,2.4
7,3.0,,,,,,,,,,,,,,,,,3.0
8,3.0,4.0,2.0,4.0,1.0,0.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,5.0,2.7142857142857144,2.8333333333333335,2.933333333333333
9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,7.0,5.0,3.5,4.533333333333333
10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.333333333333333
11,4.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,,8.0,2.4285714285714284,3.6,3.357142857142857
12,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,10.0,4.571428571428571,2.5,4.133333333333334
13,3.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,4.0,3.0,3.933333333333333
14,5.0,,,,,5.0,5.0,,,,,,,,,5.0,,5.0
15,4.0,2.0,5.0,5.0,1.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,3.142857142857143,4.0,3.6666666666666665
16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,,,,,,3.0,1.0,2.6
17,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.857142857142857,1.3333333333333333,3.533333333333333
18,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,3.0,3.0,10.0,5.0,3.1666666666666665,4.6
19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.2
20,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,,,3.0,2.0,5.0,4.0,,4.142857142857143,3.5,4.0
21,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,8.0,4.714285714285714,3.3333333333333335,4.333333333333333
22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,2.0,2.0,3.0,1.0,10.0,5.0,2.0,4.133333333333334
23,4.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,3.142857142857143,1.6666666666666667,2.7333333333333334
24,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,7.0,4.714285714285714,3.0,4.133333333333334
25,5.0,2.0,4.0,2.0,4.0,2.0,5.0,1.0,4.0,1.0,2.0,1.0,4.0,5.0,4.0,2.857142857142857,2.8333333333333335,3.066666666666667
26,5.0,5.0,4.0,5.0,1.0,5.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,5.0,3.857142857142857,1.6666666666666667,3.1333333333333333
27,3.0,4.0,4.0,5.0,3.0,4.0,5.0,2.0,4.0,1.0,3.0,2.0,5.0,4.0,8.0,3.857142857142857,3.1666666666666665,3.8
28,5.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,2.0,0.0,2.0,1.0,2.0,2.0,5.0,4.0,1.5,3.1333333333333333
29,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,3.142857142857143,3.0,3.2666666666666666
30,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,3.0,10.0,5.0,3.8333333333333335,4.866666666666666
31,4.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,1.0,4.0,2.0,4.0,3.0,6.0,4.142857142857143,3.0,3.8
32,3.0,3.0,3.0,5.0,2.0,3.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,9.0,3.142857142857143,3.6666666666666665,3.7333333333333334
33,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,8.0,4.428571428571429,3.8333333333333335,4.4
34,3.0,2.0,5.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,3.2857142857142856,2.1666666666666665,2.933333333333333
35,5.0,3.0,5.0,5.0,2.0,2.0,5.0,1.0,2.0,3.0,4.0,4.0,5.0,3.0,10.0,3.2857142857142856,3.5,3.933333333333333
36,1.0,5.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,3.7142857142857144,4.0,3.8666666666666667
37,4.0,3.0,5.0,5.0,3.0,2.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,10.0,3.5714285714285716,4.833333333333333,4.533333333333333
38,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,3.857142857142857,1.6666666666666667,3.066666666666667
39,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,10.0,4.428571428571429,4.5,4.866666666666666
40,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,,,,,,,2.0,3.857142857142857,,3.7777777777777777
41,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,9.0,4.142857142857143,3.8333333333333335,4.4
42,5.0,3.0,5.0,3.0,4.0,4.0,5.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,6.0,3.5714285714285716,1.8333333333333333,3.1333333333333333
43,3.0,3.0,4.0,5.0,3.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,8.0,3.0,2.3333333333333335,3.066666666666667
44,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,3.0,5.0,5.0,9.0,4.857142857142857,3.8333333333333335,4.733333333333333
45,5.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,2.0,3.0,3.0,5.0,2.0,10.0,4.285714285714286,3.3333333333333335,4.333333333333333
46,4.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,2.7142857142857144,3.1666666666666665,3.1333333333333333
47,3.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,8.0,3.7142857142857144,3.6666666666666665,3.933333333333333
48,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,8.0,4.0,2.3333333333333335,3.6666666666666665
49,4.0,2.0,4.0,5.0,1.0,2.0,4.0,,5.0,4.0,3.0,2.0,2.0,4.0,8.0,3.0,3.3333333333333335,3.5714285714285716
50,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0,8.0,4.571428571428571,2.8333333333333335,4.133333333333334
51,3.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,7.0,4.285714285714286,2.8333333333333335,3.8
52,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,8.0,5.0,4.0,4.8
53,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,9.0,4.714285714285714,1.8333333333333333,3.8
54,5.0,3.0,3.0,5.0,3.0,4.0,5.0,2.0,3.0,1.0,4.0,3.0,2.0,4.0,3.0,3.5714285714285716,2.8333333333333335,3.3333333333333335
55,4.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,8.0,4.0,3.6666666666666665,4.133333333333334
56,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,3.1333333333333333
57,5.0,3.0,1.0,4.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,7.0,2.7142857142857144,1.6666666666666667,2.7333333333333334
58,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,7.0,4.0,3.8333333333333335,4.133333333333334
59,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,3.0,3.0,9.0,4.571428571428571,3.5,4.4
60,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,3.2857142857142856,3.0,3.2666666666666666
61,3.0,2.0,4.0,2.0,2.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,3.0,5.0,4.266666666666667
62,5.0,5.0,5.0,5.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,10.0,4.142857142857143,4.833333333333333,4.866666666666666
63,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,3.0,10.0,4.428571428571429,3.8333333333333335,4.6
64,4.0,3.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,1.0,3.0,1.0,3.0,5.0,10.0,4.0,2.6666666666666665,3.8666666666666667
65,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,4.857142857142857,2.0,3.8666666666666667
66,5.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,2.0,4.0,3.0,5.0,5.0,10.0,4.142857142857143,4.0,4.533333333333333
67,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,3.0,4.0,4.0,10.0,5.0,3.3333333333333335,4.666666666666667
68,5.0,5.0,5.0,5.0,,5.0,5.0,2.0,,,,,,,10.0,4.5,,5.25
